#TYPE System.Management.Automation.PSCustomObject
"File","Action","ShortCutKey"
"GetPostDocSCrMemoLnSbfrm.Page","Dimensions","Alt+D"
"GetPostDocSCrMemoLnSbfrm.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"GetPostDocSInvLnSubform.Page","""Show Document""","Shift+F7"
"GetPostDocSInvLnSubform.Page","Dimensions","Alt+D"
"GetPostDocSInvLnSubform.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"GetPostDocSShptLnSbfrm.Page","ShowDocument","Shift+F7"
"GetPostDocSShptLnSbfrm.Page","Dimensions","Alt+D"
"GetPostDocSShptLnSbfrm.Page","ItemTrackingLines","Shift+Ctrl+I"
"GetPstDocRtrnRcptLnSubform.Page","""Show Document""","Shift+F7"
"GetPstDocRtrnRcptLnSubform.Page","Dimensions","Alt+D"
"GetPstDocRtrnRcptLnSubform.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"GetPstDocRtrnShptLnSubform.Page","""Show Document""","Shift+F7"
"GetPstDocRtrnShptLnSubform.Page","Dimensions","Alt+D"
"GetPstDocRtrnShptLnSubform.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"GetReceiptLines.Page","""Show Document""","Shift+F7"
"GetReceiptLines.Page","Dimensions","Alt+D"
"GetReturnReceiptLines.Page","""Show Document""","Shift+F7"
"GetReturnReceiptLines.Page","Dimensions","Alt+D"
"GetReturnShipmentLines.Page","""Show Document""","Shift+F7"
"GetReturnShipmentLines.Page","Dimensions","Alt+D"
"GetServiceShipmentLines.Page","""Show Document""","Shift+F7"
"GetServiceShipmentLines.Page","Dimensions","Alt+D"
"GetShipmentLines.Page","""Show Document""","Shift+F7"
"GetShipmentLines.Page","Dimensions","Alt+D"
"GLAccountBalance.Page","Card","Shift+F7"
"GLAccountBalance.Page","""Ledger E&ntries""","Ctrl+F7"
"GLAccountBalance.Page","Dimensions","Alt+D"
"GLAccountBalanceBudget.Page","Card","Shift+F7"
"GLAccountBalanceBudget.Page","""Ledger E&ntries""","Ctrl+F7"
"GLAccountBalanceBudget.Page","Dimensions","Alt+D"
"GLAccountCard.Page","""Ledger E&ntries""","Ctrl+F7"
"GLAccountCard.Page","Dimensions","Alt+D"
"GLAccountList.Page","""Ledger E&ntries""","Ctrl+F7"
"GLAccountList.Page","Dimensions","Alt+D"
"GLBalance.Page","Card","Shift+F7"
"GLBalance.Page","""Ledger E&ntries""","Ctrl+F7"
"GLBalance.Page","Dimensions","Alt+D"
"GLBalanceBudget.Page","Card","Shift+F7"
"GLBalanceBudget.Page","""Ledger E&ntries""","Ctrl+F7"
"GLBalanceBudget.Page","Dimensions","Alt+D"
"GLBudgetEntries.Page","Dimensions","Alt+D"
"GLBudgetNames.Page","EditBudget","Return"
"GLEntriesDimOvervMatrix.Page","Dimensions","Alt+D"
"GLEntriesPreview.Page","Dimensions","Alt+D"
"GLItemLedgerRelation.Page","Dimensions","Alt+D"
"HandledICInboxJnlLines.Page","Dimensions","Alt+D"
"HandledICInboxPurchDoc.Page","Dimensions","Alt+D"
"HandledICInboxPurchLines.Page","Dimensions","Alt+D"
"HandledICInboxSalesDoc.Page","Dimensions","Alt+D"
"HandledICInboxSalesLines.Page","Dimensions","Alt+D"
"HandledICOutboxJnlLines.Page","Dimensions","Alt+D"
"HandledICOutboxPurchDoc.Page","Dimensions","Alt+D"
"HandledICOutboxPurchLines.Page","Dimensions","Alt+D"
"HandledICOutboxSalesDoc.Page","Dimensions","Alt+D"
"HandledICOutboxSalesLines.Page","Dimensions","Alt+D"
"ICGeneralJournal.Page","Dimensions","Alt+D"
"ICGeneralJournal.Page","Card","Shift+F7"
"ICGeneralJournal.Page","""Ledger E&ntries""","Ctrl+F7"
"ICGeneralJournal.Page","""Apply Entries""","Shift+F11"
"ICGeneralJournal.Page","Reconcile","Ctrl+F11"
"ICGeneralJournal.Page","""P&ost""","F9"
"ICGeneralJournal.Page","""Post and &Print""","Shift+F9"
"ICInboxJnlLines.Page","""&Dimensions""","Alt+D"
"ICInboxPurchaseDoc.Page","Dimensions","Alt+D"
"ICInboxPurchaseLines.Page","Dimensions","Alt+D"
"ICInboxSalesDoc.Page","Dimensions","Alt+D"
"ICInboxSalesLines.Page","Dimensions","Alt+D"
"ICOutboxJnlLines.Page","""&Dimensions""","Alt+D"
"ICOutboxPurchaseDoc.Page","Dimensions","Alt+D"
"ICOutboxPurchaseLines.Page","Dimensions","Alt+D"
"ICOutboxSalesDoc.Page","Dimensions","Alt+D"
"ICOutboxSalesLines.Page","Dimensions","Alt+D"
"ICPartnerCard.Page","Dimensions","Alt+D"
"ICPartnerList.Page","""Dimensions-Single""","Alt+D"
"InsCoverageLedgerEntries.Page","Dimensions","Alt+D"
"InsuranceCard.Page","""Coverage Ledger E&ntries""","Ctrl+F7"
"InsuranceCard.Page","Dimensions","Alt+D"
"InsuranceCard.Page","Statistics","F7"
"InsuranceJournal.Page","Dimensions","Alt+D"
"InsuranceJournal.Page","Card","Shift+F7"
"InsuranceJournal.Page","""Coverage Ledger E&ntries""","Ctrl+F7"
"InsuranceJournal.Page","""P&ost""","F9"
"InsuranceJournal.Page","""Post and &Print""","Shift+F9"
"InsuranceJournalBatches.Page","""Edit Journal""","Return"
"InsuranceJournalBatches.Page","""P&ost""","F9"
"InsuranceJournalBatches.Page","""Post and &Print""","Shift+F9"
"InsuranceList.Page","""Coverage Ledger E&ntries""","Ctrl+F7"
"InsuranceList.Page","""Dimensions-Single""","Alt+D"
"InsuranceList.Page","Statistics","F7"
"InsuranceRegisters.Page","""Ins&urance Coverage Ledger""","Ctrl+F7"
